Country,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),2022PopDensity,2020PopDensity,2015PopDensity,2010PopDensity,2000PopDensity,1990PopDensity,1980PopDensity,1970PopDensity
Kenya,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,93.09193493,89.57397647,80.72734666,71.53731174,53.15878746,39.90969335,27.89118609,19.76867568
Kiribati,131232,126463,116707,107995,88826,75124,60813,57437,811,161.8150432,155.9346486,143.9050555,133.162762,109.5265105,92.63131936,74.98520345,70.82244143
Kuwait,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,239.5820519,244.7212931,219.3704681,165.1900326,108.5924907,94.00258166,83.84049837,45.05477607
Kyrgyzstan,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,33.1612395,32.1322424,29.58214763,27.42558927,24.68195708,21.97905487,18.46056784,15.08561598
Laos,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,31.79676943,30.90962416,28.66308699,26.70362331,22.93434544,18.21977618,13.92533361,11.2976478
Latvia,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,28.66604192,29.38477981,30.85479949,32.55208414,37.0595889,41.65787884,39.84009975,37.13524063
Lebanon,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,525.2333525,541.8028129,612.2215844,477.9755071,413.3794489,343.8289323,283.5535783,227.8789705
Lesotho,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,75.96195026,74.25794762,69.79150058,66.63636963,65.84187119,59.26526108,46.3736452,33.71704826
Liberia,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,47.61361779,45.68222755,41.41483716,36.09582559,25.99667771,19.84152682,17.34925338,13.14156543
Libya,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,3.871660207,3.781637246,3.519235141,3.689593871,2.929623652,2.40800607,1.683803721,1.08504325
Liechtenstein,39327,38756,37355,35926,33026,28765,25003,21089,160,245.79375,242.225,233.46875,224.5375,206.4125,179.78125,156.26875,131.80625
Lithuania,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,42.11416539,43.18938744,45.38690658,48.07073507,55.12460949,57.97621746,53.92352221,49.15998469
Luxembourg,647599,630399,569408,507070,435628,381267,363741,339342,2586,250.4249807,243.7737819,220.1887084,196.0827533,168.4563032,147.4350348,140.6577726,131.2227378
Macau,695168,676283,615239,557297,431896,350227,245332,247284,30,23172.26667,22542.76667,20507.96667,18576.56667,14396.53333,11674.23333,8177.733333,8242.8
Madagascar,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,50.44232686,48.08041857,42.33249807,37.01794764,27.62401774,20.24179231,15.2428229,11.31054049
Malawi,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,172.2200213,163.5415837,142.9639614,124.2228655,94.77555619,80.51437325,52.89633199,39.03599642
Malaysia,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,102.5934499,100.3618256,93.91944148,86.81218429,69.36197677,52.9531292,39.95038437,31.15602942
Maldives,523787,514438,435582,361575,282507,224957,164887,123243,300,1745.956667,1714.793333,1451.94,1205.25,941.69,749.8566667,549.6233333,410.81
Mali,22593590,21224040,18112907,15529181,11239101,8945026,7372581,6153587,1240192,18.21781627,17.11351146,14.60492166,12.52159424,9.062387921,7.212613853,5.944709368,4.961801882
Malta,533286,515357,456579,418755,399212,365392,333587,315414,316,1687.613924,1630.876582,1444.870253,1325.174051,1263.329114,1156.303797,1055.655063,998.1455696
Marshall Islands,41569,43413,49410,53416,54224,46047,31988,23969,181,229.6629834,239.8508287,272.9834254,295.1160221,299.5801105,254.4033149,176.7292818,132.4254144
Martinique,367507,370391,383515,392181,432543,374271,333786,326428,1128,325.804078,328.3608156,339.9955674,347.6781915,383.4601064,331.8005319,295.9095745,289.3865248
Mauritania,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,1030700,4.595070341,4.364610459,3.828679538,3.317610362,2.614730765,1.946276317,1.461816241,1.088772679
Mauritius,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2040,636.9946078,636.1901961,633.8985294,629.0833333,596.0441176,534.4558824,468.0710784,406.9191176
Mayotte,326101,305587,249545,211786,159215,92659,52233,35383,374,871.9278075,817.0775401,667.2326203,566.2727273,425.7085561,247.7513369,139.6604278,94.60695187
Mexico,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,1964375,64.90824053,64.14167458,61.16444009,57.28661839,49.82421483,41.60123602,34.46652803,25.60066484
Micronesia,114164,112106,109462,107588,111709,98603,76299,58989,702,162.6267806,159.6951567,155.9287749,153.2592593,159.1296296,140.460114,108.6880342,84.02991453
Moldova,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,33846,96.7025941,91.14362111,96.83235833,108.6741712,125.6152278,132.3701176,121.232642,109.6478166
Monaco,36469,36922,36760,33178,32465,30329,27076,24270,2,18234.5,18461,18380,16589,16232.5,15164.5,13538,12135
Mongolia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,1564110,2.172715474,2.106204167,1.895486251,1.727832441,1.567011911,1.381893217,1.085460741,0.827230821
Montenegro,627082,629048,633966,631044,633324,621442,589324,530268,13812,45.40124529,45.54358529,45.89965248,45.68809731,45.85317116,44.99290472,42.66753548,38.39183319
Montserrat,4390,4500,5059,4938,5138,10805,11452,11402,102,43.03921569,44.11764706,49.59803922,48.41176471,50.37254902,105.9313725,112.2745098,111.7843137
Morocco,37457971,36688772,34680458,32464865,28554415,24570814,19678444,15274351,446550,83.88303885,82.16050162,77.66310156,72.70152279,63.9444967,55.02365693,44.06772814,34.20524241
Mozambique,32969517,31178239,26843246,23073723,17768505,13303459,11413587,8411676,801590,41.13015008,38.89549396,33.48750109,28.78494367,22.16657518,16.59633853,14.23868436,10.49373869
Myanmar,54179306,53423198,51483949,49390988,45538332,40099553,33465781,27284112,676578,80.07843294,78.96088552,76.09462471,73.00117355,67.3068471,59.26818933,49.46330061,40.32663196
Namibia,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,825615,3.109211921,3.014841058,2.764852867,2.54267546,2.203376877,1.658171181,1.182141797,0.91382424
